AIRCRAFT_ID,AIRCRAFT_MANUFACTURER,AIRCRAFT_MODEL,SEAT_CAPACITY,REVIEW_ID
42,Unknown,Unknown,,73586
28,Boeing,Boeing 767,216,47211
42,Unknown,Unknown,,83305
42,Unknown,Unknown,,152585
19,Boeing,Boeing 737,189,50136
42,Unknown,Unknown,,129535
34,Boeing,Boeing 787,242,63306
42,Unknown,Unknown,,100115
28,Boeing,Boeing 767,216,57855
42,Unknown,Unknown,,150301
42,Unknown,Unknown,,151149
42,Unknown,Unknown,,44281
42,Unknown,Unknown,,38350
42,Unknown,Unknown,,127228
42,Unknown,Unknown,,90247
42,Unknown,Unknown,,67766
42,Unknown,Unknown,,111398
42,Unknown,Unknown,,90358
42,Unknown,Unknown,,150218
28,Boeing,Boeing 767,216,113785
42,Unknown,Unknown,,69976
42,Unknown,Unknown,,155732
42,Unknown,Unknown,,94507
42,Unknown,Unknown,,113892
34,Boeing,Boeing 787,242,73747
19,Boeing,Boeing 737,189,100042
42,Unknown,Unknown,,84635
42,Unknown,Unknown,,85840
42,Unknown,Unknown,,124085
42,Unknown,Unknown,,83910
42,Unknown,Unknown,,141075
42,Unknown,Unknown,,92452
42,Unknown,Unknown,,79807
42,Unknown,Unknown,,111931
42,Unknown,Unknown,,54607
42,Unknown,Unknown,,120250
42,Unknown,Unknown,,133866
42,Unknown,Unknown,,47820
42,Unknown,Unknown,,135757
42,Unknown,Unknown,,96840
42,Unknown,Unknown,,91629
42,Unknown,Unknown,,125041
42,Unknown,Unknown,,125043
42,Unknown,Unknown,,99197
42,Unknown,Unknown,,116582
42,Unknown,Unknown,,140320
42,Unknown,Unknown,,40232
42,Unknown,Unknown,,41477
42,Unknown,Unknown,,101895
19,Boeing,Boeing 737,189,85946
42,Unknown,Unknown,,80948
19,Boeing,Boeing 737,189,108432
42,Unknown,Unknown,,53039
42,Unknown,Unknown,,82540
42,Unknown,Unknown,,123577
42,Unknown,Unknown,,84088
32,Boeing,Boeing 777,396,78788
42,Unknown,Unknown,,76880
42,Unknown,Unknown,,112344
42,Unknown,Unknown,,79272
42,Unknown,Unknown,,109173
42,Unknown,Unknown,,146803
19,Boeing,Boeing 737,189,86239
42,Unknown,Unknown,,96105
42,Unknown,Unknown,,40313
42,Unknown,Unknown,,96055
42,Unknown,Unknown,,150027
32,Boeing,Boeing 777,396,47822
42,Unknown,Unknown,,49078
42,Unknown,Unknown,,47982
42,Unknown,Unknown,,85203
42,Unknown,Unknown,,149543
42,Unknown,Unknown,,139757
42,Unknown,Unknown,,70281
42,Unknown,Unknown,,147989
42,Unknown,Unknown,,66778
42,Unknown,Unknown,,126866
34,Boeing,Boeing 787,242,133970
42,Unknown,Unknown,,72546
42,Unknown,Unknown,,138354
42,Unknown,Unknown,,92305
42,Unknown,Unknown,,120348
