METRIC_X,METRIC_Y,CORRELATION
CABIN_STAFF_SERVICE,CABIN_STAFF_SERVICE,1
CABIN_STAFF_SERVICE,FOOD_AND_BEVERAGES,0.699438411
CABIN_STAFF_SERVICE,GROUND_SERVICE,0.60091049
CABIN_STAFF_SERVICE,INFLIGHT_ENTERTAINMENT,0.601714236
CABIN_STAFF_SERVICE,SEAT_COMFORT,0.657139271
CABIN_STAFF_SERVICE,VALUE_FOR_MONEY,0.627381913
CABIN_STAFF_SERVICE,WIFI_AND_CONNECTIVITY,0.562572546
FOOD_AND_BEVERAGES,CABIN_STAFF_SERVICE,0.699438411
FOOD_AND_BEVERAGES,FOOD_AND_BEVERAGES,1
FOOD_AND_BEVERAGES,GROUND_SERVICE,0.611295341
FOOD_AND_BEVERAGES,INFLIGHT_ENTERTAINMENT,0.704247128
FOOD_AND_BEVERAGES,SEAT_COMFORT,0.706507125
FOOD_AND_BEVERAGES,VALUE_FOR_MONEY,0.708595604
FOOD_AND_BEVERAGES,WIFI_AND_CONNECTIVITY,0.680817473
GROUND_SERVICE,CABIN_STAFF_SERVICE,0.60091049
GROUND_SERVICE,FOOD_AND_BEVERAGES,0.611295341
GROUND_SERVICE,GROUND_SERVICE,1
GROUND_SERVICE,INFLIGHT_ENTERTAINMENT,0.575758674
GROUND_SERVICE,SEAT_COMFORT,0.644647533
GROUND_SERVICE,VALUE_FOR_MONEY,0.76996702
GROUND_SERVICE,WIFI_AND_CONNECTIVITY,0.574734331
INFLIGHT_ENTERTAINMENT,CABIN_STAFF_SERVICE,0.601714236
INFLIGHT_ENTERTAINMENT,FOOD_AND_BEVERAGES,0.704247128
INFLIGHT_ENTERTAINMENT,GROUND_SERVICE,0.575758674
INFLIGHT_ENTERTAINMENT,INFLIGHT_ENTERTAINMENT,1
INFLIGHT_ENTERTAINMENT,SEAT_COMFORT,0.647433207
INFLIGHT_ENTERTAINMENT,VALUE_FOR_MONEY,0.668906507
INFLIGHT_ENTERTAINMENT,WIFI_AND_CONNECTIVITY,0.791203342
SEAT_COMFORT,CABIN_STAFF_SERVICE,0.657139271
SEAT_COMFORT,FOOD_AND_BEVERAGES,0.706507125
SEAT_COMFORT,GROUND_SERVICE,0.644647533
SEAT_COMFORT,INFLIGHT_ENTERTAINMENT,0.647433207
SEAT_COMFORT,SEAT_COMFORT,1
SEAT_COMFORT,VALUE_FOR_MONEY,0.70843218
SEAT_COMFORT,WIFI_AND_CONNECTIVITY,0.631892571
VALUE_FOR_MONEY,CABIN_STAFF_SERVICE,0.627381913
VALUE_FOR_MONEY,FOOD_AND_BEVERAGES,0.708595604
VALUE_FOR_MONEY,GROUND_SERVICE,0.76996702
VALUE_FOR_MONEY,INFLIGHT_ENTERTAINMENT,0.668906507
VALUE_FOR_MONEY,SEAT_COMFORT,0.70843218
VALUE_FOR_MONEY,VALUE_FOR_MONEY,1
VALUE_FOR_MONEY,WIFI_AND_CONNECTIVITY,0.672842726
WIFI_AND_CONNECTIVITY,CABIN_STAFF_SERVICE,0.562572546
WIFI_AND_CONNECTIVITY,FOOD_AND_BEVERAGES,0.680817473
WIFI_AND_CONNECTIVITY,GROUND_SERVICE,0.574734331
WIFI_AND_CONNECTIVITY,INFLIGHT_ENTERTAINMENT,0.791203342
WIFI_AND_CONNECTIVITY,SEAT_COMFORT,0.631892571
WIFI_AND_CONNECTIVITY,VALUE_FOR_MONEY,0.672842726
WIFI_AND_CONNECTIVITY,WIFI_AND_CONNECTIVITY,1
