METRIC_X,METRIC_Y,CORRELATION
CABIN_STAFF_SERVICE,CABIN_STAFF_SERVICE,1
CABIN_STAFF_SERVICE,FOOD_AND_BEVERAGES,0.724726454
CABIN_STAFF_SERVICE,GROUND_SERVICE,0.617760192
CABIN_STAFF_SERVICE,INFLIGHT_ENTERTAINMENT,0.644250912
CABIN_STAFF_SERVICE,SEAT_COMFORT,0.666499125
CABIN_STAFF_SERVICE,VALUE_FOR_MONEY,0.716306432
CABIN_STAFF_SERVICE,WIFI_AND_CONNECTIVITY,0.611156943
FOOD_AND_BEVERAGES,CABIN_STAFF_SERVICE,0.724726454
FOOD_AND_BEVERAGES,FOOD_AND_BEVERAGES,1
FOOD_AND_BEVERAGES,GROUND_SERVICE,0.619802482
FOOD_AND_BEVERAGES,INFLIGHT_ENTERTAINMENT,0.696738578
FOOD_AND_BEVERAGES,SEAT_COMFORT,0.685775681
FOOD_AND_BEVERAGES,VALUE_FOR_MONEY,0.723428555
FOOD_AND_BEVERAGES,WIFI_AND_CONNECTIVITY,0.665266049
GROUND_SERVICE,CABIN_STAFF_SERVICE,0.617760192
GROUND_SERVICE,FOOD_AND_BEVERAGES,0.619802482
GROUND_SERVICE,GROUND_SERVICE,1
GROUND_SERVICE,INFLIGHT_ENTERTAINMENT,0.653895342
GROUND_SERVICE,SEAT_COMFORT,0.660521485
GROUND_SERVICE,VALUE_FOR_MONEY,0.760901003
GROUND_SERVICE,WIFI_AND_CONNECTIVITY,0.604916031
INFLIGHT_ENTERTAINMENT,CABIN_STAFF_SERVICE,0.644250912
INFLIGHT_ENTERTAINMENT,FOOD_AND_BEVERAGES,0.696738578
INFLIGHT_ENTERTAINMENT,GROUND_SERVICE,0.653895342
INFLIGHT_ENTERTAINMENT,INFLIGHT_ENTERTAINMENT,1
INFLIGHT_ENTERTAINMENT,SEAT_COMFORT,0.688857822
INFLIGHT_ENTERTAINMENT,VALUE_FOR_MONEY,0.716719542
INFLIGHT_ENTERTAINMENT,WIFI_AND_CONNECTIVITY,0.790328768
SEAT_COMFORT,CABIN_STAFF_SERVICE,0.666499125
SEAT_COMFORT,FOOD_AND_BEVERAGES,0.685775681
SEAT_COMFORT,GROUND_SERVICE,0.660521485
SEAT_COMFORT,INFLIGHT_ENTERTAINMENT,0.688857822
SEAT_COMFORT,SEAT_COMFORT,1
SEAT_COMFORT,VALUE_FOR_MONEY,0.742156903
SEAT_COMFORT,WIFI_AND_CONNECTIVITY,0.671443356
VALUE_FOR_MONEY,CABIN_STAFF_SERVICE,0.716306432
VALUE_FOR_MONEY,FOOD_AND_BEVERAGES,0.723428555
VALUE_FOR_MONEY,GROUND_SERVICE,0.760901003
VALUE_FOR_MONEY,INFLIGHT_ENTERTAINMENT,0.716719542
VALUE_FOR_MONEY,SEAT_COMFORT,0.742156903
VALUE_FOR_MONEY,VALUE_FOR_MONEY,1
VALUE_FOR_MONEY,WIFI_AND_CONNECTIVITY,0.709805963
WIFI_AND_CONNECTIVITY,CABIN_STAFF_SERVICE,0.611156943
WIFI_AND_CONNECTIVITY,FOOD_AND_BEVERAGES,0.665266049
WIFI_AND_CONNECTIVITY,GROUND_SERVICE,0.604916031
WIFI_AND_CONNECTIVITY,INFLIGHT_ENTERTAINMENT,0.790328768
WIFI_AND_CONNECTIVITY,SEAT_COMFORT,0.671443356
WIFI_AND_CONNECTIVITY,VALUE_FOR_MONEY,0.709805963
WIFI_AND_CONNECTIVITY,WIFI_AND_CONNECTIVITY,1
