DESTINATION,LOCATIONID,CITY,AIRPORT
2576,2576,Lima,LIM
2576,2576,Lima,LIM
2576,2576,Lima,LIM
2576,2576,Lima,LIM
2580,2580,Lincoln,Unknown
2580,2580,Lincoln,Unknown
2580,2580,Lincoln,Unknown
2582,2582,Lir,Unknown
2582,2582,Lir,Unknown
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2584,2584,Lisbon,LIS
2585,2585,Lit,Unknown
2585,2585,Lit,Unknown
2587,2587,Little Rock,Unknown
2587,2587,Little Rock,Unknown
2587,2587,Little Rock,Unknown
2587,2587,Little Rock,Unknown
2605,2605,Lnk,Unknown
2617,2617,London,LHR
2617,2617,London,LHR
2617,2617,London,LHR
2617,2617,London,LHR
2617,2617,London,LHR
2617,2617,London,LHR
2617,2617,London,LHR
2617,2617,London,LHR
2617,2617,London,LHR
2617,2617,London,LHR
2617,2617,London,LHR
2617,2617,London,LHR
2617,2617,London,LHR
2617,2617,London,LHR
2617,2617,London,LHR
2617,2617,London,LHR
