ORIGIN,LOCATIONID,CITY,AIRPORT
32,32,Accra,ACC
32,32,Accra,ACC
68,68,Aguadilla,Unknown
68,68,Aguadilla,Unknown
72,72,Aguascalientes,Unknown
92,92,Akron,Unknown
97,97,Akron–Canton,Unknown
110,110,Alb,Unknown
115,115,Albuquerque,Unknown
115,115,Albuquerque,Unknown
115,115,Albuquerque,Unknown
115,115,Albuquerque,Unknown
115,115,Albuquerque,Unknown
115,115,Albuquerque,Unknown
115,115,Albuquerque,Unknown
115,115,Albuquerque,Unknown
115,115,Albuquerque,Unknown
115,115,Albuquerque,Unknown
121,121,Alexandria,Unknown
130,130,Allentown,Unknown
145,145,Amarillo,Unknown
145,145,Amarillo,Unknown
157,157,Amsterdam,AMS
157,157,Amsterdam,AMS
157,157,Amsterdam,AMS
157,157,Amsterdam,AMS
157,157,Amsterdam,AMS
157,157,Amsterdam,AMS
157,157,Amsterdam,AMS
157,157,Amsterdam,AMS
157,157,Amsterdam,AMS
157,157,Amsterdam,AMS
157,157,Amsterdam,AMS
157,157,Amsterdam,AMS
162,162,Anc,Unknown
162,162,Anc,Unknown
163,163,Anchorage,Unknown
163,163,Anchorage,Unknown
163,163,Anchorage,Unknown
163,163,Anchorage,Unknown
163,163,Anchorage,Unknown
163,163,Anchorage,Unknown
163,163,Anchorage,Unknown
163,163,Anchorage,Unknown
164,164,Anchorage Ak,Unknown
194,194,Appleton,Unknown
194,194,Appleton,Unknown
194,194,Appleton,Unknown
194,194,Appleton,Unknown
203,203,Arcata,Unknown
211,211,Arkansas,Unknown
221,221,Aruba,Unknown
221,221,Aruba,Unknown
221,221,Aruba,Unknown
228,228,Asheville,Unknown
228,228,Asheville,Unknown
228,228,Asheville,Unknown
228,228,Asheville,Unknown
228,228,Asheville,Unknown
241,241,Aspen,Unknown
241,241,Aspen,Unknown
241,241,Aspen,Unknown
241,241,Aspen,Unknown
241,241,Aspen,Unknown
241,241,Aspen,Unknown
256,256,Athens,ATH
256,256,Athens,ATH
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
258,258,Atlanta,ATL
263,263,Aua,Unknown
263,263,Aua,Unknown
265,265,Auckland,AKL
265,265,Auckland,AKL
265,265,Auckland,AKL
265,265,Auckland,AKL
265,265,Auckland,AKL
265,265,Auckland,AKL
265,265,Auckland,AKL
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
275,275,Austin,AUS
